Наименование|Обозначение|Кол-во|Материал|Материал2|Материал3|ID|Кол-во на изд.|Масса|Покуп. изд.|Сумм.кол-во|1|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|3|комплектация|изготовление|контроль|1|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|3|комплектация|изготовление|контроль|4|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|5|комплектация|изготовление|контроль|030101|комплектация|изготовление|контроль
        Сектор|        КТ.1408182.11.05.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000650|1|1.63||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000651|1|1.63||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000652|1|1.63||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Планка прижимная|    КТ.1408182.11.05|5||||0x10800040B|1|9.8||10|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000653|1|1.63||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000654|1|1.63||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000655|1|1.63||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000656|1|1.63||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000657|1|1.63||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000658|1|1.63||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Планка опорная|    КТ.1408182.11.06|5||||0x10800040C|1|9.68||10|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000659|1|1.61||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800065A|1|1.61||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800065B|1|1.61||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800065C|1|1.61||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800065D|1|1.61||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800065E|1|1.61||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Планка опорная|    КТ.1408182.11.06|5||||0x10800040D|1|9.68||10|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800065F|1|1.61||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000660|1|1.61||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000661|1|1.61||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000662|1|1.61||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000663|1|1.61||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|5|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000664|1|1.61||60|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Штанга транспортировочная|    КТ.1408182.11.07|5|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800040E|1|6.07||30|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Штанга транспортировочная|    КТ.1408182.11.07|5|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800040F|1|6.07||30|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Штанга транспортировочная|    КТ.1408182.11.07|5|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000410|1|6.07||30|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
    Штанга транспортировочная|    КТ.1408182.11.07|5|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000411|1|6.07||30|||||||||||||||||||||||||||||||||||||Время: 16 мин.$Операции:$005;010|||
