Наименование|Обозначение|Кол-во|Материал|Материал2|Материал3|Кол-во на изд.|Масса|Покуп. изд.|1|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|3|комплектация|изготовление|контроль|1|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|3|комплектация|изготовление|контроль|4|комплектация|изготовление|контроль|2|комплектация|изготовление|контроль|5|комплектация|изготовление|контроль|030101|комплектация|изготовление|контроль
        Сектор|        КТ.1408182.11.05.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.63||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Планка прижимная|    КТ.1408182.11.05|6||||6|9.8||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.63||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.63||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.63||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.63||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.63||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.05.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.63||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
    Планка опорная|    КТ.1408182.11.06|6||||6|9.68||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.61||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.61||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.61||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.61||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.61||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
        Сектор|        КТ.1408182.11.06.001|6|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|6|1.61||||||||||||||||||||||||||||||||||||||Время: 30 мин.$Операции:$005;010|||
